series_type,table_type,table_type_desc,country_code,country_type,country_english_name,year,period_type,period_number,period,period_in_date,trade_flow,trade_flow_desc,commodity_group_code,commodity_group_name,partner_country_code,partner_country_english_name,base_year,currency_type,value,value_unit,value_type,value_type_desc,estimation_type,estimation_type_desc
T37.A.Q.,T37,Trade indices - individual countries/areas,608,C,Philippines,1948,A,0,194852,01/01/1948,M,Imports,1,Total,0,World,2000,,51.09781794,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,608,C,Philippines,1948,A,0,194852,01/01/1948,X,Exports,1,Total,0,World,2000,,6.74721618,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,616,C,Poland,1948,A,0,194852,01/01/1948,M,Imports,1,Total,0,World,2000,,1.24686171,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,616,C,Poland,1948,A,0,194852,01/01/1948,X,Exports,1,Total,0,World,2000,,2.378102,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,620,C,Portugal,1948,A,0,194852,01/01/1948,X,Exports,1,Total,0,World,2000,,4.63254025,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,620,C,Portugal,1948,A,0,194852,01/01/1948,M,Imports,1,Total,0,World,2000,,4.83431602,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,710,C,South Africa,1948,A,0,194852,01/01/1948,M,Imports,1,Total,0,World,2000,,35.48632208,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,710,C,South Africa,1948,A,0,194852,01/01/1948,X,Exports,1,Total,0,World,2000,,7.71513822,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,724,C,Spain,1948,A,0,194852,01/01/1948,M,Imports,1,Total,0,World,2000,,1.74322438,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,724,C,Spain,1948,A,0,194852,01/01/1948,X,Exports,1,Total,0,World,2000,,2.07315867,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,752,C,Sweden,1948,A,0,194852,01/01/1948,M,Imports,1,Total,0,World,2000,,6.18846877,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,752,C,Sweden,1948,A,0,194852,01/01/1948,X,Exports,1,Total,0,World,2000,,3.94245041,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,757,C,Switzerland,1948,A,0,194852,01/01/1948,X,Exports,1,Total,0,World,2000,,6.12034501,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,757,C,Switzerland,1948,A,0,194852,01/01/1948,M,Imports,1,Total,0,World,2000,,19.72560272,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,764,C,Thailand,1948,A,0,194852,01/01/1948,M,Imports,1,Total,0,World,2000,,13.96291635,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,764,C,Thailand,1948,A,0,194852,01/01/1948,X,Exports,1,Total,0,World,2000,,2.85190396,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,826,C,United Kingdom,1948,A,0,194852,01/01/1948,X,Exports,1,Total,0,World,2000,,10.04798429,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,826,C,United Kingdom,1948,A,0,194852,01/01/1948,M,Imports,1,Total,0,World,2000,,10.04207636,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,840,C,United States,1948,A,0,194852,01/01/1948,M,Imports,1,Total,0,World,2000,,4.11930911,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,840,C,United States,1948,A,0,194852,01/01/1948,X,Exports,1,Total,0,World,2000,,7.57142876,,Q,Volume,A,Actual
